ParkID,Park,Score,Facility Type,Facility Name,Address,State,Zipcode,Square Feet,Perimeter Length(ft),Acres,Longitude,Latitude
90,J. P. Murphy Playground,1.0,Basketball Court,Potrero Hill Basketball Courts,801 Arkansas St,CA,94107,"5,816.79",317.60,0.13,-122.39716361,37.75692591
99,Rochambeau Playground,1.0,Basketball Court,States Street Basketball Courts,States St,CA,94114,"7,840.90",361.90,0.18,-122.43813886,37.76370219
98,DuPont Courts,0.873,Basketball Court,St Mary's Basketball Courts,Murray & Justin Dr,CA,94112,"7,571.20",375.26,0.17,-122.42106171,37.73337066
100,Richmond Playground,0.948,Basketball Court,Sunnyside Basketball Courts,Terisita Ave & Melrose,CA,94127,"5,666.13",304.65,0.13,-122.44688777,37.73295943
138,Justin Herman-Embarcadero Plaza,0.9,Restroom,Lafayette Park Restrooms,Washington & Laguna St,CA,94115,787.53,120.23,0.02,-122.42812055,37.79170701
115,Koshland Park,0.872,Restroom,DuPont Courts Restrooms,30th Ave & Clement,CA,94121,291.66,75.73,0.01,-122.49084001,37.78287907
67,Sunnyside Playground,0.643,Basketball Court,Jackson Basketball Courts,17th & Arkansas St,CA,94107,"9,047.84",398.94,0.21,-122.39976107,37.76385141
28,John McLaren Park,0.84,Ball Field,Parkside ball fields,28th Ave & Vicente,CA,94116,"104,340.63","1,513.14",2.40,-122.48430123,37.73838541
28,John McLaren Park,0.593,Ball Field,Parkside ball fields,28th Ave & Vicente,CA,94116,"104,340.63","1,513.14",2.40,-122.48430123,37.73838541
28,John McLaren Park,0.85,Ball Field,Parkside ball fields,28th Ave & Vicente,CA,94116,"104,340.63","1,513.14",2.40,-122.48430123,37.73838541
26,Kelloch Velasco Mini Park,0.889,Ball Field,Moscone ball fields,1800 Chestnut Street,CA,94123,"209,906.12","2,000.32",4.82,-122.43287515,37.80222739
127,Cottage Row Mini Park,0.735,Restroom,GGP2 Japanese Tea Garden Women's Bathrm,Stanyan & Great Hwy,CA,94117,390.48,116.42,0.01,-122.46944064,37.7704745
106,Beideman-O'Farrell Mini Park,0.778,Restroom,Rogers: Restrooms,Ingalls & Oakdale,CA,94124,541.24,94.82,0.01,-122.38372054,37.73087851
27,Visitacion Valley Playground,0.978,Ball Field,Ocean View Ball Fields,Capitol & Montana Street,CA,94112,"135,493.23","2,241.10",3.11,-122.45760265,37.71549811
40,Joseph Lee Recreation Center,0.413,Ball Field,Youngblood Coleman Ball Fields,Mendell & Galvez,CA,94124,"47,940.28",980.15,1.10,-122.38434099999999,37.73860918
29,Excelsior Playground,0.978,Ball Field,Palega ball fields,500 Felton,CA,94134,"84,054.70","1,281.83",1.93,-122.40925318,37.72949294
131,Allyne Park,1.0,Restroom,GGP1 Sharon Meadow Bathroom,Sharon Meadow,CA,94117,"1,925.50",201.75,0.04,-122.45891022,37.76818303
128,Lafayette Park,0.58,Restroom,GGP1 Panhandle Restroom Bldg,Stanyan & Great Hwy,CA,94117,"1,727.52",166.46,0.04,-122.44757749,37.77208711
109,Presidio Heights Playground,0.932,Restroom,Balboa Park East Bathrooms,Ocean & San Jose,CA,94112,"1,008.10",127.06,0.02,-122.44423221,37.72518276
126,Japantown Peace Plaza,0.875,Restroom,GGP1 Conservatory Bathroom,Stanyan & Great Hwy,CA,94117,"1,292.93",145.49,0.03,-122.46077534,37.77259623
