,Unnamed: 0,id,name,rating,address,city,lat,long,zip code
262,262,tea-era-cupertino,Tea Era,4.0,20916 Homestead Rd,Cupertino,37.3371504153713,-122.04035249287001,95014-030
263,263,fantasia-coffee-and-tea-cupertino,Fantasia Coffee & Tea,4.0,10933 N Wolfe Rd,Cupertino,37.3361159244324,-122.01589030752899,95014
264,264,tpumps-cupertino,Tpumps,3.5,19959 Stevens Creek Blvd,Cupertino,37.3232384288673,-122.02294965714701,95014-2366
265,265,super-cue-cafe-cupertino,Super Cue Cafe,3.5,19620 Stevens Creek Blvd,Cupertino,37.3223942970538,-122.016749576721,95014-2465
266,266,happy-lemon-cupertino-5,Happy Lemon,4.5,10963 N Wolfe Rd,Cupertino,37.3362175002018,-122.015137771311,95014-0617
267,267,ten-ren-tea-cupertino,Ten Ren Tea,4.0,10881 N Wolfe Rd,Cupertino,37.3356484303065,-122.014956682871,95014
268,268,meet-fresh-cupertino,Meet Fresh,3.0,19449 Stevens Creek Blvd,Cupertino,37.3243651,-122.0105533,95014
269,269,hechaa-cupertino-4,Hechaa,3.5,10619 S De Anza Blvd,Cupertino,37.31361,-122.03263,95014-4431
270,270,calibear-cyber-cafe-sunnyvale-6,Calibear Cyber Cafe,4.5,1336 S Mary Ave,Sunnyvale,37.35065,-122.04962,94087
271,271,happy-lemon-sunnyvale-2,Happy Lemon,4.5,605 E El Camino Real,Sunnyvale,37.36189,-122.02454,94088-3707
272,272,what8ver-express-cupertino-2,What8ver Express,3.5,10118 Bandley Dr,Cupertino,37.324498742943,-122.03407823789,95014-2101
273,273,gong-cha-sunnyvale,Gong Cha,4.5,1641 Hollenbeck Ave,Sunnyvale,37.33929000000001,-122.04255,95014-0200
274,274,cafe-lattea-cupertino,Cafe LaTTea,3.5,19501 Stevens Creek Blvd,Cupertino,37.323241317778,-122.012261466162,95014
275,275,t4-cupertino-cupertino,T4 Cupertino,4.0,19505 Stevens Creek Blvd,Cupertino,37.32328,-122.01283,95014
276,276,sharetea-sunnyvale-3,Sharetea,4.0,568 El Camino Real,Sunnyvale,37.3623572836214,-122.02725608702299,94088-3707
277,277,tea-chansii-cupertino,Tea Chansii,3.0,19449 Stevens Creek Blvd,Cupertino,37.324398934014894,-122.01113826932101,95014
278,278,verde-tea-house-cupertino-2,Verde Tea House,3.5,10477 S De Anza Blvd,Cupertino,37.3162384033203,-122.032508850098,95014-3011
279,279,bubble-tea-time-saratoga,Bubble Tea Time,4.0,18564 Prospect Rd,Saratoga,37.29165,-121.99636,95070
280,280,the-tea-zone-and-fruit-bar-mountain-view,The Tea Zone & Fruit Bar,4.5,805 El Camino Real,Mountain View,37.38565,-122.08442,94041
281,281,teaspoon-santa-clara-7,Teaspoon,4.0,3450 El Camino Real,Santa Clara,37.351987713518895,-121.991230201809,95051
282,282,beastea-santa-clara,Beastea,4.0,2785 El Camino Real,Santa Clara,37.35297,-121.97705,95051-1880
283,283,teaspoon-mountain-view,Teaspoon,3.5,236 Castro St,Mountain View,37.3934799,-122.07956,94041
284,284,tea-annie-mountain-view,Tea Annie,4.0,1712 Miramonte Ave,Mountain View,37.3723,-122.08801,94040
285,285,verde-tea-cafe-mountain-view,Verde Tea Cafe,3.5,852 Villa St,Mountain View,37.3941710599454,-122.07954880400601,94041
286,286,teafans-sunnyvale,TeaFans,3.5,927 E Arques Ave,Sunnyvale,37.3813699,-122.00808,94085
287,287,85-c-bakery-cafe-san-jose-5,85°C Bakery Cafe,3.5,1183 S De Anza Blvd,San Jose,37.3035809397697,-122.032403200865,95129
288,288,matcha-love-san-jose-6,Matcha Love,4.0,675 Saratoga Ave,San Jose,37.31496320599,-121.97809522149599,95129
289,289,bambu-sunnyvale-2,BAMBU,3.5,189 W Washington Ave,Sunnyvale,37.3763175470854,-122.031325878136,94086
290,290,icicles-cupertino,Icicles,4.0,19622 Stevens Creek Blvd,Cupertino,37.3225177360044,-122.017925500033,95014-2456
291,291,sunnywich-cafe-sunnyvale,Sunnywich Cafe,4.5,223 East Maude Ave,Sunnyvale,37.3878822408982,-122.024536281978,94084
292,292,ocha-tea-café-and-restaurant-mountain-view-2,Ocha Tea Café & Restaurant,3.5,1350 Grant Rd,Mountain View,37.3770405227974,-122.076683293475,9404
293,293,bubble-bay-tea-santa-clara,Bubble Bay Tea,3.5,4300 Great America Pkwy,Santa Clara,37.3928752137833,-121.97739116027799,94054
294,294,jazen-tea-san-jose-4,Jazen Tea,3.5,1089 S De Anza Blvd,San Jose,37.30656389999999,-122.0328361,95014-5803
295,295,comebuy-tea-and-coffee-santa-clara,Comebuy Tea & Coffee,3.5,2712 Augustine Dr,Santa Clara,37.3822051,-121.9761898,95054-1202
296,296,music-tunnel-ktv-cafe-san-jose-2,Music Tunnel KTV Cafe,3.5,1132 S De Anza Blvd,San Jose,37.30529,-122.03167,95129
297,297,jazen-tea-santa-clara-3,Jazen Tea,3.5,3147 Mission College Blvd,Santa Clara,37.3882893,-121.9835596,94054
298,298,butterfly-santa-clara,Butterfly,4.0,1000 Lafayette St,Santa Clara,37.35031160000001,-121.9438457,95050-9998
299,299,quickly-cupertino,Quickly,3.0,21265 Stevens Creek Blvd,Cupertino,37.32349,-122.047397,95014-5715
300,300,california-mochi-santa-clara-4,California Mochi,4.0,3030 El Camino Real,Santa Clara,37.3517723083496,-121.98119354247999,95051
301,301,t4-livermore-livermore-2,T4 Livermore,4.0,4010 E Ave,Livermore,37.68077,-121.74804,94550
302,302,orange-tea-livermore,Orange Tea,4.5,6033 Northfront Rd,Livermore,37.711910145866796,-121.723351532745,94551
303,303,big-fat-straw-cafe-livermore-2,Big Fat Straw Cafe,4.0,980 Murrieta Blvd,Livermore,37.6761474995967,-121.785110675949,94551
304,304,donut-wheel-livermore,Donut Wheel,4.0,2017 1st St,Livermore,37.680747985839794,-121.770835876465,94550
305,305,t4-san-ramon-3,T4,3.0,11020 Bollinger Canyon Rd,San Ramon,37.7749533109683,-121.92407373922899,94582-5009
306,306,saigon-cafe-livermore,Saigon Cafe,4.0,2011 2nd St,Livermore,37.68,-121.77058,94550
307,307,rice-paper-bistro-livermore,Rice Paper Bistro,3.5,1548 N Vasco Rd,Livermore,37.718175655226496,-121.724808264734,
308,308,menchies-frozen-yogurt-livermore,Menchie's Frozen Yogurt,4.0,973 E Stanley Blvd,Livermore,37.6783516,-121.7841207,94551
309,309,la-farfalla-bakery-fremont,La Farfalla Bakery,4.0,39947 Mission Blvd,Fremont,37.5566932750951,-121.952448293212,94537
310,310,ice3-creamery-fremont,Ice3 Creamery,4.0,39957 Mission Blvd,Fremont,37.556529,-121.952556,94537
311,311,yogurt-shop-danville,Yogurt Shop,4.0,3450 Camino Tassajara Rd,Danville,37.7986554,-121.9187406,94506
312,312,bean-scene-cafe-fremont-2,Bean Scene Cafe,4.0,4000 Bay St,Fremont,37.532729,-121.95934,94538
313,313,yogurtland-san-ramon,Yogurtland,4.0,152 Sunset Dr,San Ramon,37.7624177187681,-121.96090020239401,94583
314,314,chilly-and-munch-mountain-view,Chilly & Munch,4.5,2101 Showers Dr,Mountain View,37.4068109566105,-122.106984711639,94040
315,315,jazen-tea-mountain-view-3,Jazen Tea,3.0,220 Castro St,Mountain View,37.3936614990234,-122.079444885254,94041
316,316,t4-palo-alto-2,T4,3.5,165 University Ave,Palo Alto,37.44451,-122.16337,94301
317,317,pearl-cafe-mountain-view,Pearl Cafe,3.5,506A Showers Dr,Mountain View,37.402982863672,-122.10676106228,94022
318,318,tapioca-express-mountain-view,Tapioca Express,3.0,740 Villa St,Mountain View,37.39379,-122.07838999999998,94041
